"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","oss-2",,,,"User:","sachin"
"Cmdline:","dstat -D sda2,sda3,sda5,sda9,sda -N eth1,eth2,eth3,eth4,eth5,total -tcnmdls --disk-util --output dstat.csv 1 460",,,,"Date:","06 May 2013 12:18:46 IST"

"system","total cpu usage",,,,,,"net/eth1",,"net/eth2",,"net/eth3",,"net/eth4",,"net/eth5",,"net/total",,"memory usage",,,,"dsk/sda2",,"dsk/sda3",,"dsk/sda5",,"dsk/sda9",,"dsk/sda",,"load avg",,,"swap",,"sda2","sda3","sda5","sda9","sda"
06-05 12:18:55,0.156,0.282,99.218,0.313,0.0,0.031,64.0,0.0,3999744.0,101688.0,0.0,0.0,0.0,0.0,64.0,0.0,4000128.0,101688.0,780988416.0,270180352.0,2938630144.0,29628882944.0,0.0,20557824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20557824.0,0.350,0.490,0.430,528384.0,33553895424.0,24.300,0.0,0.0,0.0,24.300
06-05 12:18:56,0.156,0.125,99.437,0.250,0.0,0.031,260.0,0.0,3040373.0,75584.0,64.0,0.0,64.0,0.0,64.0,0.0,3041177.0,75584.0,780529664.0,270180352.0,2943418368.0,29624553472.0,0.0,3481600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481600.0,0.350,0.490,0.430,528384.0,33553895424.0,19.400,0.0,0.0,0.0,19.400
06-05 12:18:57,0.125,0.156,99.312,0.407,0.0,0.0,64.0,0.0,4149578.0,105118.0,261.0,0.0,0.0,0.0,0.0,0.0,4150255.0,105118.0,780525568.0,270180352.0,2947473408.0,29620502528.0,0.0,3899392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899392.0,0.480,0.520,0.440,528384.0,33553895424.0,26.100,0.0,0.0,0.0,26.100
06-05 12:18:58,0.094,0.063,99.029,0.783,0.0,0.031,0.0,0.0,3455452.0,88878.0,64.0,0.0,64.0,0.0,128.0,64.0,3455996.0,88942.0,780574720.0,270188544.0,2950463488.0,29617455104.0,0.0,3223552.0,0.0,0.0,0.0,0.0,0.0,69632.0,0.0,3354624.0,0.480,0.520,0.440,528384.0,33553895424.0,31.0,0.0,0.0,8.700,33.100
06-05 12:18:59,0.156,0.125,99.344,0.344,0.0,0.031,64.0,0.0,3064622.0,79632.0,0.0,0.0,64.0,0.0,0.0,0.0,3065284.0,79632.0,780943360.0,270188544.0,2953904128.0,29613645824.0,0.0,3235840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3235840.0,0.480,0.520,0.440,528384.0,33553895424.0,22.400,0.0,0.0,0.0,22.400
06-05 12:19:00,0.156,0.063,99.343,0.407,0.0,0.031,0.0,0.0,2677512.0,69522.0,64.0,0.0,0.0,0.0,64.0,0.0,2678142.0,69522.0,780894208.0,270188544.0,2956607488.0,29610991616.0,0.0,2797568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2797568.0,0.480,0.520,0.440,528384.0,33553895424.0,23.200,0.0,0.0,0.0,23.200
06-05 12:19:01,0.125,0.188,99.281,0.375,0.0,0.031,64.0,0.0,3371766.0,85362.0,0.0,0.0,64.0,0.0,0.0,0.0,3372150.0,85362.0,780197888.0,270200832.0,2977353728.0,29590929408.0,0.0,20275200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20275200.0,0.480,0.520,0.440,528384.0,33553895424.0,25.600,0.0,0.0,0.0,25.600
06-05 12:19:02,0.125,0.125,99.531,0.188,0.0,0.031,0.0,0.0,3357044.0,86244.0,64.0,0.0,0.0,0.0,64.0,0.0,3357492.0,86244.0,780070912.0,270200832.0,2980020224.0,29588389888.0,0.0,3088384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088384.0,0.520,0.520,0.440,528384.0,33553895424.0,21.0,0.0,0.0,0.0,21.0
06-05 12:19:03,0.125,0.094,99.500,0.282,0.0,0.0,64.0,0.0,2643976.0,70366.0,0.0,0.0,64.0,0.0,0.0,0.0,2644360.0,70366.0,780492800.0,270200832.0,2982764544.0,29585223680.0,0.0,2826240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2826240.0,0.520,0.520,0.440,528384.0,33553895424.0,22.500,0.0,0.0,0.0,22.500
06-05 12:19:04,0.094,0.063,99.500,0.313,0.0,0.031,0.0,0.0,2817640.0,73854.0,64.0,0.0,0.0,0.0,64.0,0.0,2818088.0,73854.0,779644928.0,270209024.0,2985500672.0,29583327232.0,0.0,2523136.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,2535424.0,0.520,0.520,0.440,528384.0,33553895424.0,23.600,0.0,0.0,1.200,24.300
06-05 12:19:05,0.125,0.094,99.374,0.375,0.0,0.031,64.0,0.0,3699138.0,91792.0,0.0,0.0,325.0,0.0,0.0,0.0,3699783.0,91792.0,779653120.0,270209024.0,2989301760.0,29579517952.0,0.0,3928064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3928064.0,0.520,0.520,0.440,528384.0,33553895424.0,23.800,0.0,0.0,0.0,23.800
06-05 12:19:06,0.156,0.188,99.375,0.281,0.0,0.0,64.0,0.0,2877784.0,75006.0,64.0,0.0,0.0,0.0,64.0,0.0,2878232.0,75006.0,779792384.0,270225408.0,3008675840.0,29559988224.0,0.0,19501056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19501056.0,0.520,0.520,0.440,528384.0,33553895424.0,27.400,0.0,0.0,0.0,27.400
06-05 12:19:07,0.094,0.063,99.562,0.250,0.0,0.031,0.0,0.0,2186998.0,58704.0,0.0,0.0,64.0,0.0,260.0,0.0,2187514.0,58704.0,779972608.0,270225408.0,3011162112.0,29557321728.0,0.0,2646016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646016.0,0.560,0.530,0.440,528384.0,33553895424.0,21.700,0.0,0.0,0.0,21.700
06-05 12:19:08,0.094,0.094,99.500,0.281,0.0,0.031,64.0,0.0,2793222.0,72818.0,64.0,0.0,0.0,0.0,64.0,0.0,2793734.0,72818.0,779395072.0,270225408.0,3014008832.0,29555052544.0,0.0,2510848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510848.0,0.560,0.530,0.440,528384.0,33553895424.0,25.100,0.0,0.0,0.0,25.100
06-05 12:19:09,0.125,0.094,99.468,0.313,0.0,0.0,0.0,0.0,2360224.0,64694.0,64.0,0.0,64.0,0.0,0.0,0.0,2360544.0,64694.0,779354112.0,270225408.0,3016261632.0,29552840704.0,0.0,2433024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433024.0,0.560,0.530,0.440,528384.0,33553895424.0,27.100,0.0,0.0,0.0,27.100
06-05 12:19:10,0.063,0.094,99.406,0.407,0.0,0.031,64.0,0.0,1777456.0,50314.0,0.0,0.0,0.0,0.0,64.0,0.0,1777840.0,50314.0,779567104.0,270233600.0,3018072064.0,29550809088.0,0.0,2064384.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,2076672.0,0.560,0.530,0.440,528384.0,33553895424.0,24.400,0.0,0.0,1.600,25.100
06-05 12:19:11,0.125,0.094,99.500,0.282,0.0,0.0,0.0,0.0,2949130.0,77182.0,64.0,0.0,64.0,0.0,0.0,0.0,2949450.0,77182.0,779059200.0,270241792.0,3020984320.0,29548396544.0,0.0,2723840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2723840.0,0.560,0.530,0.440,528384.0,33553895424.0,23.100,0.0,0.0,0.0,23.100
06-05 12:19:12,0.125,0.125,99.312,0.438,0.0,0.0,64.0,0.0,2476902.0,66840.0,0.0,0.0,0.0,0.0,64.0,0.0,2477286.0,66840.0,779563008.0,270241792.0,3023400960.0,29545476096.0,0.0,2834432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2834432.0,0.680,0.560,0.450,528384.0,33553895424.0,28.0,0.0,0.0,0.0,28.0
06-05 12:19:13,0.125,0.156,99.343,0.344,0.0,0.031,0.0,0.0,3310296.0,85626.0,64.0,0.0,64.0,0.0,0.0,0.0,3310616.0,85626.0,778960896.0,270249984.0,3042942976.0,29526528000.0,0.0,19742720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19742720.0,0.680,0.560,0.450,528384.0,33553895424.0,24.800,0.0,0.0,0.0,24.800
06-05 12:19:14,0.094,0.094,99.437,0.344,0.0,0.031,64.0,0.0,1902140.0,51520.0,0.0,0.0,0.0,0.0,64.0,0.0,1902588.0,51520.0,779239424.0,270249984.0,3045330944.0,29523861504.0,0.0,2400256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400256.0,0.680,0.560,0.450,528384.0,33553895424.0,22.200,0.0,0.0,0.0,22.200
06-05 12:19:15,0.125,0.094,99.531,0.250,0.0,0.0,0.0,0.0,2720542.0,72110.0,64.0,0.0,64.0,0.0,0.0,0.0,2721178.0,72110.0,779182080.0,270249984.0,3047919616.0,29521330176.0,0.0,2732032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732032.0,0.680,0.560,0.450,528384.0,33553895424.0,27.900,0.0,0.0,0.0,27.900
06-05 12:19:16,0.063,0.125,99.593,0.188,0.0,0.031,64.0,0.0,2421774.0,64824.0,0.0,0.0,0.0,0.0,64.0,0.0,2422222.0,64824.0,778432512.0,270258176.0,3050319872.0,29519671296.0,0.0,2265088.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,2277376.0,0.680,0.560,0.450,528384.0,33553895424.0,20.600,0.0,0.0,1.700,21.900
06-05 12:19:17,0.094,0.094,99.562,0.250,0.0,0.0,0.0,0.0,2142634.0,58282.0,64.0,0.0,64.0,0.0,0.0,0.0,2143018.0,58282.0,778448896.0,270258176.0,3052335104.0,29517639680.0,0.0,2043904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043904.0,0.700,0.560,0.450,528384.0,33553895424.0,24.100,0.0,0.0,0.0,24.100
06-05 12:19:18,0.094,0.063,99.375,0.438,0.0,0.031,64.0,0.0,1910816.0,52600.0,0.0,0.0,64.0,0.0,64.0,0.0,1911328.0,52600.0,778412032.0,270262272.0,3054272512.0,29515735040.0,0.0,3051520.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,3063808.0,0.700,0.560,0.450,528384.0,33553895424.0,31.100,0.0,0.0,4.0,31.100
06-05 12:19:19,0.094,0.063,99.562,0.282,0.0,0.0,0.0,0.0,1982932.0,54680.0,64.0,0.0,0.0,0.0,64.0,0.0,1983316.0,54680.0,778526720.0,270262272.0,3056062464.0,29513830400.0,0.0,1839104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839104.0,0.700,0.560,0.450,528384.0,33553895424.0,27.400,0.0,0.0,0.0,27.400
06-05 12:19:20,0.094,0.063,99.562,0.282,0.0,0.0,64.0,0.0,1575514.0,45942.0,0.0,0.0,64.0,0.0,0.0,0.0,1575898.0,45942.0,778412032.0,270262272.0,3057700864.0,29512306688.0,0.0,1851392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851392.0,0.700,0.560,0.450,528384.0,33553895424.0,23.200,0.0,0.0,0.0,23.200
06-05 12:19:21,0.125,0.156,99.281,0.407,0.0,0.031,0.0,0.0,2735226.0,72466.0,64.0,0.0,0.0,0.0,64.0,0.0,2735610.0,72466.0,779149312.0,270266368.0,3076767744.0,29492498432.0,0.0,19542016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19542016.0,0.700,0.560,0.450,528384.0,33553895424.0,27.600,0.0,0.0,0.0,27.600
06-05 12:19:22,0.094,0.063,99.468,0.375,0.0,0.0,64.0,0.0,2165864.0,58156.0,0.0,0.0,64.0,0.0,0.0,0.0,2166184.0,58156.0,778653696.0,270274560.0,3079081984.0,29490671616.0,0.0,2048000.0,0.0,0.0,0.0,0.0,0.0,24576.0,0.0,2072576.0,0.810,0.590,0.460,528384.0,33553895424.0,24.900,0.0,0.0,1.800,26.100
06-05 12:19:23,0.094,0.063,99.593,0.219,0.0,0.031,64.0,0.0,1920693.0,53128.0,64.0,0.0,0.0,0.0,64.0,0.0,1921381.0,53128.0,778625024.0,270274560.0,3080753152.0,29489029120.0,0.0,4984832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4984832.0,0.810,0.590,0.460,528384.0,33553895424.0,25.900,0.0,0.0,0.0,25.900
06-05 12:19:24,0.094,0.125,99.437,0.344,0.0,0.0,260.0,0.0,1807172.0,51662.0,0.0,0.0,64.0,0.0,0.0,0.0,1807688.0,51662.0,778727424.0,270274560.0,3082809344.0,29486870528.0,0.0,2306048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306048.0,0.810,0.590,0.460,528384.0,33553895424.0,27.100,0.0,0.0,0.0,27.100
06-05 12:19:25,0.094,0.063,99.562,0.250,0.0,0.031,64.0,0.0,2515396.0,66746.0,325.0,0.0,0.0,0.0,64.0,0.0,2516105.0,66746.0,779354112.0,270274560.0,3084468224.0,29484584960.0,0.0,2105344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105344.0,0.810,0.590,0.460,528384.0,33553895424.0,23.500,0.0,0.0,0.0,23.500
06-05 12:19:26,0.125,0.063,99.500,0.313,0.0,0.0,0.0,0.0,1872314.0,52408.0,0.0,0.0,64.0,0.0,0.0,0.0,1872570.0,52472.0,778833920.0,270282752.0,3086884864.0,29482680320.0,0.0,2260992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260992.0,0.810,0.590,0.460,528384.0,33553895424.0,21.300,0.0,0.0,0.0,21.300
06-05 12:19:27,0.094,0.094,99.469,0.313,0.0,0.031,64.0,0.0,1877340.0,52084.0,64.0,0.0,0.0,0.0,64.0,0.0,1877788.0,52084.0,778784768.0,270282752.0,3088711680.0,29480902656.0,0.0,1982464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982464.0,0.820,0.590,0.460,528384.0,33553895424.0,26.800,0.0,0.0,0.0,26.800
06-05 12:19:28,0.063,0.094,99.468,0.375,0.0,0.0,0.0,0.0,1819794.0,51256.0,64.0,0.0,64.0,0.0,0.0,0.0,1820114.0,51256.0,778559488.0,270290944.0,3090333696.0,29479497728.0,0.0,1765376.0,0.0,0.0,0.0,0.0,0.0,16384.0,0.0,1781760.0,0.820,0.590,0.460,528384.0,33553895424.0,25.400,0.0,0.0,2.500,26.700
06-05 12:19:29,0.094,0.094,99.593,0.219,0.0,0.0,64.0,0.0,2076004.0,56558.0,0.0,0.0,0.0,0.0,64.0,0.0,2076388.0,56558.0,778596352.0,270290944.0,3092201472.0,29477593088.0,0.0,2072576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072576.0,0.820,0.590,0.460,528384.0,33553895424.0,22.900,0.0,0.0,0.0,22.900
06-05 12:19:30,0.094,0.125,99.500,0.250,0.0,0.031,0.0,0.0,1646762.0,46612.0,64.0,0.0,64.0,0.0,0.0,0.0,1647082.0,46612.0,778551296.0,270303232.0,3110645760.0,29459181568.0,4096.0,18690048.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,18690048.0,0.820,0.590,0.460,528384.0,33553895424.0,24.500,0.0,0.0,0.0,24.500
06-05 12:19:31,0.094,0.063,99.687,0.156,0.0,0.0,64.0,0.0,1968724.0,53174.0,0.0,0.0,0.0,0.0,64.0,0.0,1969108.0,53174.0,779079680.0,270303232.0,3112529920.0,29456769024.0,0.0,2088960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088960.0,0.820,0.590,0.460,528384.0,33553895424.0,21.600,0.0,0.0,0.0,21.600
06-05 12:19:32,0.125,0.094,99.593,0.188,0.0,0.0,0.0,0.0,2444612.0,65708.0,64.0,0.0,64.0,0.0,0.0,0.0,2444996.0,65708.0,778620928.0,270303232.0,3115016192.0,29454741504.0,0.0,2285568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285568.0,0.830,0.600,0.470,528384.0,33553895424.0,23.0,0.0,0.0,0.0,23.0
06-05 12:19:33,0.094,0.094,99.531,0.250,0.0,0.031,64.0,0.0,2052382.0,56900.0,0.0,0.0,0.0,0.0,64.0,0.0,2052830.0,56900.0,779067392.0,270303232.0,3116982272.0,29452328960.0,0.0,2359296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383872.0,0.830,0.600,0.470,528384.0,33553895424.0,25.100,0.0,0.0,0.0,25.700
06-05 12:19:34,0.094,0.094,99.531,0.281,0.0,0.0,0.0,0.0,1840086.0,50812.0,64.0,0.0,325.0,0.0,260.0,0.0,1841238.0,50812.0,779083776.0,270311424.0,3118735360.0,29450551296.0,0.0,1957888.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,1970176.0,0.830,0.600,0.470,528384.0,33553895424.0,24.100,0.0,0.0,2.0,25.300
06-05 12:19:35,0.063,0.063,99.562,0.282,0.0,0.031,64.0,0.0,1549888.0,44416.0,0.0,0.0,0.0,0.0,64.0,0.0,1550336.0,44416.0,779108352.0,270315520.0,3120222208.0,29449035776.0,0.0,1691648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691648.0,0.830,0.600,0.470,528384.0,33553895424.0,24.400,0.0,0.0,0.0,24.400
06-05 12:19:36,0.094,0.125,99.468,0.313,0.0,0.0,0.0,0.0,1583820.0,45834.0,64.0,0.0,64.0,0.0,0.0,0.0,1584204.0,45834.0,779161600.0,270315520.0,3121700864.0,29447503872.0,0.0,1953792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953792.0,0.830,0.600,0.470,528384.0,33553895424.0,26.200,0.0,0.0,0.0,26.200
06-05 12:19:37,0.125,0.063,99.531,0.281,0.0,0.0,64.0,0.0,2169164.0,61078.0,0.0,0.0,0.0,0.0,64.0,0.0,2169612.0,61078.0,779206656.0,270315520.0,3123814400.0,29445345280.0,0.0,2101248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101248.0,0.850,0.610,0.470,528384.0,33553895424.0,24.500,0.0,0.0,0.0,24.500
06-05 12:19:38,0.063,0.094,99.750,0.094,0.0,0.0,64.0,0.0,1739026.0,49842.0,64.0,0.0,64.0,0.0,64.0,0.0,1739538.0,49842.0,779161600.0,270315520.0,3125510144.0,29443694592.0,0.0,1855488.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,1863680.0,0.850,0.610,0.470,528384.0,33553895424.0,25.200,0.0,0.0,1.300,25.400
06-05 12:19:39,0.063,0.063,99.718,0.125,0.0,0.031,0.0,0.0,1670640.0,47718.0,0.0,0.0,64.0,0.0,0.0,0.0,1670960.0,47718.0,779169792.0,270315520.0,3127025664.0,29442170880.0,0.0,1773568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773568.0,0.850,0.610,0.470,528384.0,33553895424.0,19.400,0.0,0.0,0.0,19.400
06-05 12:19:40,0.094,0.125,99.249,0.532,0.0,0.0,64.0,0.0,2092882.0,56362.0,64.0,0.0,0.0,0.0,64.0,0.0,2093266.0,56362.0,779968512.0,270331904.0,3145764864.0,29422616576.0,0.0,18853888.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,18866176.0,0.850,0.610,0.470,528384.0,33553895424.0,29.100,0.0,0.0,1.500,30.600
06-05 12:19:41,0.094,0.063,99.593,0.250,0.0,0.0,0.0,0.0,1587636.0,45866.0,0.0,0.0,64.0,0.0,0.0,0.0,1588208.0,45866.0,779919360.0,270331904.0,3147337728.0,29421092864.0,0.0,1634304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634304.0,0.850,0.610,0.470,528384.0,33553895424.0,25.100,0.0,0.0,0.0,25.100
06-05 12:19:42,0.063,0.063,99.531,0.313,0.0,0.031,64.0,0.0,1939706.0,53198.0,64.0,0.0,0.0,0.0,64.0,0.0,1940218.0,53198.0,780177408.0,270331904.0,3148603392.0,29419569152.0,0.0,1974272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974272.0,0.860,0.610,0.470,528384.0,33553895424.0,27.100,0.0,0.0,0.0,27.100
06-05 12:19:43,0.063,0.063,99.625,0.250,0.0,0.0,0.0,0.0,1408920.0,41310.0,64.0,0.0,64.0,0.0,0.0,0.0,1409240.0,41310.0,780038144.0,270331904.0,3150385152.0,29417926656.0,0.0,1511424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511424.0,0.860,0.610,0.470,528384.0,33553895424.0,25.300,0.0,0.0,0.0,25.300
06-05 12:19:44,0.125,0.094,99.343,0.438,0.0,0.0,64.0,0.0,2087996.0,58102.0,0.0,0.0,0.0,0.0,64.0,0.0,2088380.0,58102.0,780087296.0,270331904.0,3152490496.0,29415772160.0,0.0,2318336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2330624.0,0.860,0.610,0.470,528384.0,33553895424.0,27.500,0.0,0.0,0.0,27.600
06-05 12:19:45,0.063,0.094,99.469,0.344,0.0,0.031,0.0,0.0,1927210.0,52626.0,64.0,0.0,64.0,0.0,0.0,0.0,1927530.0,52626.0,780046336.0,270340096.0,3154173952.0,29414121472.0,0.0,1847296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847296.0,0.860,0.610,0.470,528384.0,33553895424.0,26.500,0.0,0.0,0.0,26.500
06-05 12:19:46,0.125,0.094,99.437,0.344,0.0,0.0,64.0,0.0,1889812.0,53298.0,0.0,0.0,0.0,0.0,64.0,0.0,1890196.0,53298.0,779821056.0,270348288.0,3155922944.0,29412589568.0,0.0,1953792.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,1966080.0,0.860,0.610,0.470,528384.0,33553895424.0,26.200,0.0,0.0,1.600,26.700
06-05 12:19:47,0.063,0.063,99.750,0.125,0.0,0.0,0.0,0.0,1342246.0,39300.0,64.0,0.0,64.0,0.0,0.0,0.0,1342630.0,39300.0,779780096.0,270348288.0,3157233664.0,29411319808.0,0.0,1622016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622016.0,0.870,0.620,0.470,528384.0,33553895424.0,23.500,0.0,0.0,0.0,23.500
06-05 12:19:48,0.094,0.063,99.593,0.250,0.0,0.0,64.0,0.0,1958536.0,54984.0,0.0,0.0,0.0,0.0,64.0,0.0,1958984.0,54984.0,779640832.0,270348288.0,3158896640.0,29409796096.0,0.0,2404352.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,2412544.0,0.870,0.620,0.470,528384.0,33553895424.0,27.400,0.0,0.0,1.200,27.400
06-05 12:19:49,0.063,0.063,99.406,0.438,0.0,0.031,0.0,0.0,1200137.0,37052.0,64.0,0.0,64.0,0.0,0.0,0.0,1200521.0,37052.0,779624448.0,270348288.0,3160182784.0,29408526336.0,0.0,1499136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499136.0,0.870,0.620,0.470,528384.0,33553895424.0,27.700,0.0,0.0,0.0,27.700
06-05 12:19:50,0.094,0.125,99.031,0.750,0.0,0.0,324.0,0.0,1248374.0,36368.0,0.0,0.0,0.0,0.0,64.0,0.0,1249082.0,36368.0,780275712.0,270364672.0,3178053632.0,29389987840.0,0.0,18350080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18350080.0,0.870,0.620,0.470,528384.0,33553895424.0,31.600,0.0,0.0,0.0,31.600
